2.01709E+11,111171,¡¡¿Ω,47,PM-10,0.027,45,0.026,43,0.6,15,0.003,8,41,41,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,49,PM-10,0.027,45,0.019,32,0.6,15,0.003,8,57,57,49,69,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,50,PM-10,0.015,25,0.029,48,0.6,15,0.003,8,55,55,50,70,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,50,PM-10,0.024,40,0.016,27,0.7,18,0.003,8,46,46,50,70,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,50,PM-10,0.021,35,0.015,25,0.7,18,0.003,8,47,47,50,70,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,49,PM-10,0.023,38,0.01,17,0.7,18,0.003,8,51,51,49,69,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,48,PM-10,0.018,30,0.016,27,0.6,15,0.003,8,50,50,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,48,PM-10,0.023,38,0.011,18,0.7,18,0.003,8,46,46,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,48,PM-10,0.024,40,0.01,17,0.7,18,0.003,8,48,48,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,48,PM-10,0.026,43,0.013,22,0.7,18,0.004,10,47,47,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,¡¡¿Ω,48,O3,0.018,30,0.029,48,0.7,18,0.004,10,44,44,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,58,O3,0.016,27,0.04,58,0.7,18,0.003,8,45,45,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,59,O3,0.016,27,0.041,59,0.7,18,0.004,10,49,49,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,63,O3,0.014,23,0.045,63,0.7,18,0.003,8,48,48,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,64,O3,0.015,25,0.047,64,0.6,15,0.003,8,45,45,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,65,O3,0.014,23,0.048,65,0.6,15,0.003,8,47,47,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,63,O3,0.016,27,0.045,63,0.6,15,0.003,8,44,44,47,67,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,60,O3,0.019,32,0.042,60,0.6,15,0.003,8,33,33,44,64,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,59,O3,0.023,38,0.041,59,0.7,18,0.004,10,48,48,44,64,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,63,NO2,0.038,63,0.025,42,0.7,18,0.003,8,50,50,45,65,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,66,NO2,0.04,66,0.014,23,0.7,18,0.003,8,53,53,46,66,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,56,NO2,0.034,56,0.016,27,0.7,18,0.004,10,49,49,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,63,NO2,0.038,63,0.011,18,0.7,18,0.004,10,48,48,48,68,102,µø∫œ±«,µµ∫¿±∏
2.01709E+11,111171,∫∏≈Î,59,NO2,0.036,59,0.01,17,0.7,18,0.004,10,50,50,49,69,102,µø∫œ±«,µµ∫¿±∏
